PGM_SYS_ID,2007_titlefive_N,2007_titlefive_Y,2008_titlefive_N,2008_titlefive_Y,2009_titlefive_N,2009_titlefive_Y,2010_titlefive_N,2010_titlefive_Y,2011_titlefive_N,2011_titlefive_Y,2012_titlefive_N,2012_titlefive_Y,2013_titlefive_N,2013_titlefive_Y,2014_titlefive_N,2014_titlefive_Y,2015_titlefive_N,2015_titlefive_Y,2016_titlefive_N,2016_titlefive_Y,2017_titlefive_N,2017_titlefive_Y
AK0000000202000025,5,0,0,0,10,0,10,0,10,0,5,0,5,0,5,0,0,0,0,0,0,0
AK0000000202000030,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000032,5,0,5,0,0,0,5,0,10,0,0,5,0,5,0,5,0,0,0,0,0,0
AK0000000202000049,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000050,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000053,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000055,5,0,5,0,5,0,10,0,0,0,5,0,10,0,5,0,0,0,0,0,0,0
AK0000000202000056,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000061,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000062,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000073,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000078,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000084,0,0,0,0,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000088,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000092,0,0,0,0,0,0,10,0,5,0,5,0,0,5,5,5,0,0,0,0,0,0
AK0000000202000093,5,0,0,0,5,0,5,0,10,0,5,0,0,5,0,5,0,0,0,0,0,0
