"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Brooklyn Heights","New York","NY","New York","New York",87,,,,,,,,,,,,,,,,,,,,,2916,2875,2869,3100,3000,2750,2800,2500,2500,2550,2500,2650,2876.5,2750,2802.5,2775,2800,2975,2900,2963.5,2800,2900,2995,2995,3247.5,3400,3575,3693.5,3600,3600,3525,3800,3700,3600,3462.5,3300,3400,3185,3300,3500,3472.5,3385,3400,3400,3700,3700,3425,3405,3550,3497.5,3850,3660,3750,3797.5,3625,3337.5,3400,3400,3500,3425,3000,3250,3400,3000,3000,2997.5
"Waikiki","Honolulu","HI","Urban Honolulu","Honolulu",88,,,,,,,,,1600,1700,1600,1650,1600,1596.5,1596,1544.5,1483,1500,1598.5,1500,1519.5,1647,1695,1672.5,1697,1700,1800,1700,1800,1800,1775,1800,1797,1798.5,1900,2000,2000,1900,1850,1950,2000,1900,1900,1900,1900,1900,2200,2000,2100,2000,2000,2200,2100,2187.5,2000,2175,2200,2187.5,2200,2500,2408,2288.5,2200,2199,2200,2200,2100,2200,2199,2200,2200,2323.5,2200,2300,2350,2200,2300,2150,2125,2127.5,2300,2250,2198,2100,2300,2250
"Back Bay","Boston","MA","Boston","Suffolk",89,,,,,,,,,,,,2900,2850,2695,2600,2725,2800,2900,3000,3200,3200,2875,2725,3200,3147.5,2800,2725,2800,3000,3000,2950,3200,3200,3350,3400,3212.5,3150,2900,3100,3100,3000,2902.5,2925,2856,3000,2900,2875,2950,2850,2800,2800,2800,2800,2862.5,2900,2990,2900,2950,2800,2900,2895,2899,2900,2950,2900,2950,2900,2900,2900,2950,2950,2950,3000,3000,3000,2850,2900,2850,2900,2800,3000,2815,2899.5,3000,3000,3150
"Near North","Chicago","IL","Chicago","Cook",90,,,,,,,,,,,,1600,1599.5,1600,1695,1650,1846.5,1888.5,1995,2000,2000,1999,1999,1875,1850,1880,2000,2047,2100,2060,2099,1950,2120,2135,1900,1995,2100,2100,2000,1863,1899,1965,1907,1920,1950,1996,2000,2015,2000,2000,2044,2144,2200,2250,2240,2300,2075,2315.5,2297.5,2332.5,2300,2273,2150,1999,2000,2000,2200,2087.5,1975,2000,2030,2250,2200,2080,2273,1957.5,1976,2030,2044,1947.5,2144,2037,1916,1995,2000,2000
"Columbus Circle","New York","NY","New York","New York",91,,,,,,,,,,,,,,2835,3090,2985,3157,3107.5,3300,3094,3100,3200,3195,3195,3115,3190,3100,3200,3217.5,3264,3278,3200,3300,3266,3250,3200,3200,3200,3285.5,3300,3300,3300,3350,3295,3439,3500,3500,3500,3582.5,3590,3545.5,3497.5,3500,3500,3520.5,3500,3500,3500,3500,3464.5,3500,3569.5,3590,3582.5,3592.5,3590,3599.5,3600,3600,3557,3564,3582.5,3582.5,3500,3464.5,3500,3492.5,3492.5,3500,3490,3492.5,3500,3438.5,3500,3520.5,3495
"Uptown","Chicago","IL","Chicago","Cook",92,,,,,,,,,,,,,,,,,1200,1305,1400,1400,1300,1305,1385,1400,1475,1450,1487.5,1425,1247.5,1300,1387.5,1425,1400,1397.5,1395,1295,1300,1300,1300,1295,1285,1250,1295,1400,1475,1462.5,1450,1497.5,1520,1532.5,1600,1550,1660,1700,1700,1685,1642.5,1600,1550,1547.5,1532.5,1500,1462.5,1487.5,1725,1837.5,1750,1675,1637.5,1600,1595,1600,1600,1650,1550,1560,1700,1625,1560,1547.5,1575,1532.5,1532.5,1700,1750,1725
"Sutton Place","New York","NY","New York","New York",92,,,,,,,,,,,,2650,2400,2775,2800,2895,3200,3500,3900,3900,3495,3000,2795,3000,2995,2900,2950,3200,3472.5,3500,3400,3472.5,3500,3497.5,3300,3200,3295,3295,3400,3500,3395,3250,3200,3400,3347.5,3500,3500,3500,3500,3500,3495,3222.5,3200,3500,3500,3500,3500,3500,3425,3400,3400,3350,3400,3500,3500,3500,3500,3500,3500,3397.5,3500,3500,3497.5,3500,3495,3300,3300,3200,3300,3250,3495,3497.5,3300,3400,3400,3450
"Greenway - Upper Kirby Area","Houston","TX","Houston","Harris",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1555,1569,1596,1450,1450,1467,1490.5,1549,1555,1592,1490.5,1490.5,1465.5,1524.5,1545,1555,1549,1549,1490.5,1484,1497,1500,1500,1500,1475,1436.5,1448.5,1484,1524.5,1597.5,1659.5,1612.5,1549,1484,1497,1500,1400,1490,1484,1436.5,1549,1450,1465.5,1524.5,1448.5
"Bucktown","Chicago","IL","Chicago","Cook",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2275,2350,2397.5,2400,2400,2500,2450,2500,2500,2400,2300,2225,2200,2300,2400,2400,2400,2300,2299,2500,2450,2400,2450,2500,2500,2500,2500,2400,2400,2500,2472.5,2600,2450,2547.5,2500,2200,2137.5,2350,2500,2500
"Streeterville","Chicago","IL","Chicago","Cook",96,,,,,,,,,,,2300,1897.5,1934,1900,1903,1815,1700,1741.5,1975,2095,2095,2000,2000,1950,2067.5,2100,2022.5,2200,2100,2095,2000,2000,2100,2170,1986,2097,2175.5,2059,2100,2121,2154.5,2096,2090,2035,2132.5,2173,2173,2200,2200,2200,2200,2200,2150,2295,2200,2200,2200,2200,2188,2200,2260,2200,2170,2170,2188,2188,2149,2138,2149,2109,2138,2143,2172,2200,2188,1990,2149,2109,2100,2138,2176,2194,2160,2126,1975,2050
