"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"East Village","New York","NY","New York","New York",14,,,,,,4600,4887.5,4995,4800,4797.5,4800,4797.5,5000,5200,5000,4847.5,5000,5150,5200,5400,5372.5,5250,5200,5100,5195,5195,5100,5195,5200,5100,5250,5225,5200,5100,5195,5100,5200,5280,5300,5395,5500,5600,5900,5739,5739,5739,5739,5739,5739,5600,5600,5800,5600,5600,5747.5,6000,6000,6000,5680,5450,5500,5495,5497.5,5625,5800,5797.5,5800,5995,5624.5,5550,5350,5500,5812.5,5834,5997.5
"Ridgewood","New York","NY","New York","Queens",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3200,3200,3300,3385,3400,3395,3300,3300,3499,3400,3495,3387,3499,3550,3550,3550,3595,3500,3400,3400,3510,3600,3600,3600,3200,3399,3397
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",16,,,,,1672.5,1850,1900,1850,1700,1850,1700,1900,1750,1650,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1750,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1800,1890,1972.5,1895,1900,1895,1850,1795,1772.5,1750,1850,1900
"Jamaica Plain","Boston","MA","Boston","Suffolk",17,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3100,3000,3000,3100,3100,3200,3200,3000,2975,3200,3200,3100,3100,3100,3100,3200,3100,3000,2925,3000,3000,3200,3325,3300,3325,3362.5,3400,3200,3200,3125,3000,2925,3000,3250,3500,3500,3400,3400,3400,3400,3400,3400,3300,3000,3200,3300,3500,3500,3600
"Brighton","Boston","MA","Boston","Suffolk",18,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2700,2650,2650,2750,2800,2750,2700,2650,2800,2800,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,2950,2950,2950,2999,3000,3000,3100,3100,3100,3100,3100,3200,3199,3200,3200,3200,3100,3199,3200,3200,3100,3150,3100,3050,3000,3085,3150,3200,3200,3200,3300,3300,3325,3300,3225,3250,3200,3200,3200,3400,3400,3400
"North Dorchester","Boston","MA","Boston","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2850,2900,2900,2900,3000,2800,2800,2800,2600,2450,2700,3000,3000,3000
"Allston","Boston","MA","Boston","Suffolk",20,,,2850,2800,2800,2750,2700,2650,2750,2600,2525,2900,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,3000,3000,3100,3100,3050,3050,3050,3000,3000,3000,2995,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3100,3200,3300,3400,3300,3300,3300,3200,3200,3200,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3400,3200,3200,3200,3100,3550,3600,3600,3600
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",21,,,,,,,,,,,,,2400,2300,2300,2230,2200,2100,2000,2000,2000,2147.5,2200,2400,2260,2300,2380,2360,2200,2150,2000,2000,1950,2200,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2150,2000,2000,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2100,2000,2100,2200,2400,2400,2250,2300,2200
"Mission Hill","Boston","MA","Boston","Suffolk",22,,,,,,,,,,,,3600,3400,3400,3300,3250,3250,3350,3300,3300,3400,3400,3400,3462.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3750,3800,3800,3800,3800,3800,3850,3800,3800,3700,3650,3750,3800,4000,4000,4000,3900,3900,3850,3850,3800,3675,3600,3600,3800,4000,4100,4100,4000,4000,3999,3900,3800,3800,3650,3500,3712.5,4000,4200,4200,4200
"Alafaya","Orlando","FL","Orlando","Orange",23,,,,,1595,1566,1595,1578,1495,1400,1425,1495,1500,1500,1500,1550,1512.5,1500,1500,1500,1500,1550,1550,1500,1500,1550,1550,1575,1595,1562.5,1595,1625,1595,1595,1595,1595,1595,1595,1572.5,1595,1600,1650,1595,1600,1600,1600,1575,1585,1585,1600,1600,1650,1700,1650,1700,1695,1625,1612.5,1625,1698,1685,1675,1650,1650,1675,1675,1700,1737.5,1675,1600,1700,1675,1764.5,1812.5,1750
