"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Kyle Canyon","Las Vegas","NV","Las Vegas","Clark",141,,,,,,,,,,,,,,,,,,1250,1195,1237.5,1195,1100,1200,1250,1250,1250,1200,1200,1200,1225,1195,1185,1237.5,1297.5,1250,1200,1200,1200,1200,1200,1200,1245,1200,1200,1195,1200,1185,1200,1246,1250,1250,1250,1225,1295,1297.5,1242.5,1245,1250,1247.5,1250,1250,1300,1350,1295,1250,1250,1295,1295,1250,1300,1297.5,1300,1324,1300,1250,1310,1325,1350,1300,1295,1262.5,1350,1300,1395,1350,1350
"Cambridgeport","Cambridge","MA","Boston","Middlesex",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2891,3125,3125,3084.5,2986,2900.5,2905,2900,2906,2930,2975,3065,3000,3110,3092.5,3110,3075,3075,3092.5,3132.5,3132.5,3186.5,3167.5,3092.5,3075,3075,3040,3075,3075,3075,3075,3092.5,3092.5,3105,3186.5,3155,3132.5,3186.5,3075,3092.5,3075,3075,3075,3005,3005,3075,3132.5,3167.5,3132.5,3300,3092.5,3167.5,3110,3132.5,3092.5,3155,3167.5,3193
"Old Town","Chicago","IL","Chicago","Cook",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811,1805.5,1805.5,1811,1805.5,1863,1915,1955,2147.5,1811,1811,1781,1790.5,1805.5,1800,1811,1800,1781,1805.5,1863,1805.5
"North Hills","El Paso","TX","El Paso","El Paso",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.5,1337.5,1300,1300,1297.5,1295,1300,1325,1325,1337.5,1300,1267.5,1300,1300,1300,1300,1300,1300,1300,1350,1350,1300,1282,1295,1295,1300,1295,1245,1262.5,1312.5,1300,1297.5,1295,1295,1350,1297.5,1295,1300,1250,1275,1300,1300,1295,1262.5,1275,1299.5,1200,1249,1262.5,1225,1250,1200,1250,1250
"Hunters Point","New York","NY","New York","Queens",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2980,2980,2893,2890,2800,2815,2817.5,2815,2802.5,2805,2823,2824,2825,2825,2815,2815,2805,2823.5,2820,2821.5,2825,2825,2815,2794,2815,2815,2823,2823,2820,2815,2810,2815,2810,2817.5,2817.5,2821.5,2817.5,2821.5,2825,2821.5,2817.5,2823.5,2825,2815,2815,2815,2817.5,2821.5,2823
"Wells Branch","Austin","TX","Austin","Travis",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,925,956,925,933,950,1000,953,931,896,940.5,928,931,956,997.5,1007.5,956,953,967.5,967.5,950,940.5,896,925,928,925,928,940.5,987,979,979,967.5,979,950,931,925,979,997.5,987,950,931,950,967.5,950,956,956,931,940.5,940.5,931,956
"The Loop","Chicago","IL","Chicago","Cook",147,,,,,,,,,,,,,1720,1710,1720,1778,1750,1830.5,1867,1869,1900,1920,1927,1887.5,1871,1885,1888.5,1900,1918,1950,1989.5,2017,1962,2034,1930,1930,1947.5,1880,1923,1980,2095,1880,1666.5,1750.5,1770,1760,1750.5,1750.5,1731,1700,1715.5,1731,1750.5,1880,1889,1750.5,1750.5,1731,1750.5,1838,1834,1834,1922.5,1893,1731,1731,1750.5,1731,1731,1750.5,1750.5,1838,1824,1770,1770,1750.5,1731,1750.5,1953.5,1760,1804,1690.5,1740,1731,1666.5,1731
"East Cambridge","Cambridge","MA","Boston","Middlesex",148,,,,,,,,,,,,,,,,2734,2733.5,2776,2752,2800,2812.5,2968,2968,2980,2927,2990,3025,3068.5,2860,2900,2938,3150,3150,3097,3050,3049,3055.5,3108.5,3082,3060,3096,3135,3124.5,3109.5,3100,3109.5,3102,3124.5,3117,3132,3124.5,3124.5,3135,3132,3135,3158,3158,3135,3135,3132,3166,3188,3166,3189,3189,3190,3176,3124.5,3124.5,3132,3124.5,3132,3102,3132,3124.5,3135,3176,3171,3135,3150.5,3187,3166,3176,3166,3166,3181.5
"Georgian Acres","Austin","TX","Austin","Travis",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,640,709,741,669,687,669,657,645,657,657,669,678,678,678,657,687,678,669,687,687,720.5,698,698,678,657,657,669,678,678,669,669,669,657,669,669,669,678,678,657,687,669,669,698,657,657,657,678,678,669
"Canton","Baltimore","MD","Baltimore","Baltimore City",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2087.5,2187.5,1950,1950,1900,1900,1950,1850,1797.5,1850,1797.5,1850,1990,1850,1800,1850,1900,2087.5,2200,2000,2050,2000,2000,2000,2050,1850,1850,1850,1800,1800,2100,2100,2300,2125,2047.5,2000,1950,1900,2000,2220,2000,2000,2000
